"module","pathway_id","pathway_name","fish_Pvalue","reg_coeff","GenesInPathway","Go_Reactome_root_id","Go_Reactome_root_names","step2root"
"PPI-STRING_Consensus_mod1","GO:0030449","regulation of complement activation","1.23e-32","5.26e-02",109,"GO:0065007","biological regulation",5
"PPI-STRING_Consensus_mod1","GO:0001849","complement component C1q binding","2.96e-07","7.74e-02",8,"GO:0005488","binding",4
"PPI-STRING_Consensus_mod1","GO:0008228","opsonization","1.71e-12","2.04e-01",9,"GO:0002376","immune system process",3
"PPI-STRING_Consensus_mod1","R-HSA-174577","Activation of C3 and C5","1.30e-10","2.64e-01",6,"R-HSA-168256","Immune System",3
"PPI-STRING_Consensus_mod1","R-HSA-166658","Complement cascade","1.32e-45","6.46e-02",137,"R-HSA-168256","Immune System",2
"PPI-STRING_Consensus_mod1","R-HSA-2855086","Ficolins bind to repetitive carbohydrate structures on the target cell surface","1.36e-14","4.78e-01",5,"R-HSA-168256","Immune System",6
"PPI-STRING_Consensus_mod1","R-HSA-166662","Lectin pathway of complement activation","5.77e-16","1.37e-01",8,"R-HSA-168256","Immune System",5
"PPI-STRING_Consensus_mod2","GO:0070269","pyroptosis","4.75e-04","1.25e-02",12,"GO:0009987","cellular process",4
"PPI-STRING_Consensus_mod2","R-HSA-373756","SDK interactions","5.47e-03","1.20e-01",2,"R-HSA-1500931","Cell-Cell communication",3
"PPI-STRING_Consensus_mod3","R-HSA-186712","Regulation of beta-cell development","2.29e-14","3.10e-02",25,"R-HSA-1266738","Developmental Biology",1
"PPI-STRING_Consensus_mod3","R-HSA-210747","Regulation of gene expression in early pancreatic precursor cells","1.29e-07","2.12e-01",6,"R-HSA-1266738","Developmental Biology",2
"PPI-STRING_Consensus_mod3","R-HSA-210746","Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells","2.58e-08","4.19e-01",4,"R-HSA-1266738","Developmental Biology",2
"PPI-STRING_Consensus_mod3","R-HSA-210744","Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells","2.14e-05","1.41e-01",4,"R-HSA-1266738","Developmental Biology",2
"PPI-STRING_Consensus_mod4","GO:1901796","regulation of signal transduction by p53 class mediator","2.98e-10","8.75e-04",81,"GO:0065007","biological regulation",6
"PPI-STRING_Consensus_mod4","R-HSA-139915","Activation of PUMA and translocation to mitochondria","7.04e-07","4.83e-02",9,"R-HSA-5357801","Programmed Cell Death",4
"PPI-STRING_Consensus_mod4","R-HSA-8866907","Activation of the TFAP2 (AP-2) family of transcription factors","2.51e-14","1.84e-01",11,"R-HSA-74160","Gene expression (Transcription)",4
"PPI-STRING_Consensus_mod4","R-HSA-8866904","Negative regulation of activity of TFAP2 (AP-2) family transcription factors","1.14e-17","4.06e-01",10,"R-HSA-74160","Gene expression (Transcription)",4
"PPI-STRING_Consensus_mod4","R-HSA-6804759","Regulation of TP53 Activity through Association with Co-factors","1.60e-08","8.24e-02",14,"R-HSA-74160","Gene expression (Transcription)",5
"PPI-STRING_Consensus_mod4","R-HSA-6804760","Regulation of TP53 Activity through Methylation","8.01e-06","9.93e-03",19,"R-HSA-74160","Gene expression (Transcription)",5
"PPI-STRING_Consensus_mod4","R-HSA-6803207","TP53 Regulates Transcription of Caspase Activators and Caspases","1.84e-06","3.93e-02",12,"R-HSA-74160","Gene expression (Transcription)",5
"PPI-STRING_Consensus_mod4","R-HSA-6803204","TP53 Regulates Transcription of Genes Involved in Cytochrome C Release","7.69e-08","1.04e-02",20,"R-HSA-74160","Gene expression (Transcription)",5
"PPI-STRING_Consensus_mod4","R-HSA-6803205","TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain","2.18e-08","6.88e-02",15,"R-HSA-74160","Gene expression (Transcription)",5
"PPI-STRING_Consensus_mod5","GO:0005225","volume-sensitive anion channel activity","8.52e-12","3.07e-01",8,"GO:0005215","transporter activity",6
"PPI-STRING_Consensus_mod5","GO:0034702","ion channel complex","1.91e-11","5.50e-02",9,"GO:0032991#GO:0044425","protein-containing complex#membrane part",4
